time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,quarter,sex,age,percent_NEET,percent_ILO_unemployed_less_6months,percent_ILO_unemployed_more_6months,percent_reason_inactive_looking_after_family_or_home,percent_reason_inactive_long-term_or_temporary_sick,percent_reason_inactive_other
2024,Calendar year,National,E92000001,England,,,Q4,Total,16-24,13.60140767,3.880931108,1.629184688,1.493780883,3.389647999,3.207862991
2023,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.09596582,3.165175613,1.270065229,1.666705631,3.274921839,2.719097511
2022,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.48882016,3.666973566,1.240296901,1.414028019,3.160429587,3.007092091
2021,Calendar year,National,E92000001,England,,,Q4,Total,16-24,10.70123563,2.547907787,1.638164888,1.183687875,2.616917188,2.714557895
2020,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.88426461,3.353877566,2.065053868,1.297173019,2.418924151,2.749236006
2019,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.23414715,3.097447326,1.580448628,1.959274772,2.408774071,2.188202352
2018,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.29326383,3.023784299,1.586834686,2.096048271,2.201448459,2.385148112
2017,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.0457124,3.122373203,1.54591821,1.88101838,2.385787823,2.110614788
2016,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.27848672,3.189830905,1.500296891,2.052770256,2.104344685,2.431243982
2015,Calendar year,National,E92000001,England,,,Q4,Total,16-24,11.57169138,3.022885551,1.707381694,2.703543139,1.996598141,2.141282853
2014,Calendar year,National,E92000001,England,,,Q4,Total,16-24,13.05147092,3.478164598,2.68630025,3.341006933,1.735237834,1.810761303
2013,Calendar year,National,E92000001,England,,,Q4,Total,16-24,14.09463534,3.722014291,3.964100585,3.037777205,1.588311504,1.782431751
2012,Calendar year,National,E92000001,England,,,Q4,Total,16-24,14.87161042,4.191822681,3.698497153,3.73248591,1.489641769,1.759162908
2011,Calendar year,National,E92000001,England,,,Q4,Total,16-24,15.98771251,4.801899667,4.040691398,3.974957139,1.235876938,1.934287367
2010,Calendar year,National,E92000001,England,,,Q4,Total,16-24,15.55051767,4.450908625,3.398946307,3.554810911,1.483719233,2.662132591
2009,Calendar year,National,E92000001,England,,,Q4,Total,16-24,14.77602151,4.344939901,3.124602572,3.803593548,1.523875835,1.979009657
2008,Calendar year,National,E92000001,England,,,Q4,Total,16-24,14.20764546,4.725913419,2.247151567,3.813678799,1.280781203,2.140120474
2007,Calendar year,National,E92000001,England,,,Q4,Total,16-24,13.03487529,3.667421065,1.797942822,4.111127757,1.275676358,2.182707288
2006,Calendar year,National,E92000001,England,,,Q4,Total,16-24,13.85944704,4.038636219,1.752625474,4.092185533,1.429913222,2.546086597
2005,Calendar year,National,E92000001,England,,,Q4,Total,16-24,14.46919501,4.261827756,1.852085573,4.555219583,1.412695649,2.387366449
2004,Calendar year,National,E92000001,England,,,Q4,Total,16-24,13.10879227,3.989069019,1.394137747,4.169562617,1.381868336,2.174154547
2003,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.12030899,3.440082797,1.199023467,3.960829762,1.293721925,2.226651042
2002,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.26630458,3.881671332,1.149316721,4.145809049,1.296214588,1.79329289
2001,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.50896177,4.014252884,1.363424862,3.992647409,1.302648115,1.835988499
2000,Calendar year,National,E92000001,England,,,Q4,Total,16-24,12.28104574,3.721387314,1.234518957,4.331093569,1.165280465,1.828765434
